Datetime,ST05,ST10,ST20,ST40,ST80,ST160,SM05,SM10,SM20,SM40,SM80,SM160
1/1/2016 0:00,-2.719,-2.349,-1.996,0.036,1.003,3.579,0.072,0.07,0.075,0.096,0.079,0.075
1/1/2016 0:30,-2.726,-2.351,-1.986,0.036,1.001,3.576,0.072,0.07,0.075,0.096,0.079,0.075
1/1/2016 1:00,-2.741,-2.352,-1.976,0.037,1,3.575,0.072,0.07,0.075,0.096,0.079,0.075
1/1/2016 1:30,-2.769,-2.358,-1.967,0.038,0.997,3.573,0.071,0.07,0.075,0.096,0.079,0.075
1/1/2016 2:00,-2.805,-2.369,-1.959,0.039,0.997,3.573,0.071,0.07,0.075,0.096,0.079,0.075
1/1/2016 2:30,-2.847,-2.385,-1.953,0.038,0.995,3.571,0.071,0.07,0.075,0.096,0.079,0.075
1/1/2016 3:00,-2.888,-2.404,-1.947,0.039,0.994,3.57,0.071,0.07,0.075,0.096,0.079,0.075
1/1/2016 3:30,-2.929,-2.426,-1.942,0.04,0.993,3.569,0.071,0.07,0.075,0.096,0.079,0.075
1/1/2016 4:00,-2.974,-2.449,-1.94,0.04,0.992,3.568,0.071,0.07,0.075,0.096,0.079,0.075
1/1/2016 4:30,-3.025,-2.476,-1.939,0.041,0.99,3.566,0.071,0.07,0.075,0.096,0.079,0.075
1/1/2016 5:00,-3.088,-2.507,-1.939,0.041,0.989,3.565,0.07,0.07,0.075,0.096,0.079,0.075
1/1/2016 5:30,-3.164,-2.543,-1.941,0.042,0.987,3.563,0.07,0.069,0.075,0.096,0.079,0.075
1/1/2016 6:00,-3.245,-2.587,-1.945,0.042,0.985,3.562,0.069,0.069,0.075,0.096,0.079,0.075
1/1/2016 6:30,-3.326,-2.636,-1.952,0.041,0.983,3.561,0.069,0.069,0.075,0.096,0.079,0.075
1/1/2016 7:00,-3.418,-2.688,-1.959,0.042,0.983,3.559,0.069,0.069,0.075,0.096,0.079,0.075
1/1/2016 7:30,-3.533,-2.749,-1.969,0.042,0.981,3.558,0.069,0.069,0.075,0.096,0.079,0.075
1/1/2016 8:00,-3.644,-2.817,-1.981,0.043,0.981,3.558,0.069,0.069,0.075,0.096,0.079,0.075
1/1/2016 8:30,-3.743,-2.888,-1.997,0.042,0.979,3.556,0.068,0.068,0.075,0.096,0.079,0.075
1/1/2016 9:00,-3.833,-2.959,-2.016,0.041,0.977,3.554,0.068,0.068,0.075,0.096,0.079,0.075
1/1/2016 9:30,-3.903,-3.024,-2.035,0.041,0.978,3.554,0.068,0.068,0.075,0.096,0.079,0.075
1/1/2016 10:00,-3.917,-3.079,-2.057,0.039,0.979,3.554,0.068,0.068,0.075,0.096,0.079,0.075
1/1/2016 10:30,-3.852,-3.109,-2.079,0.034,0.979,3.554,0.068,0.068,0.075,0.096,0.079,0.075
1/1/2016 11:00,-3.714,-3.103,-2.102,0.031,0.979,3.553,0.068,0.068,0.075,0.096,0.079,0.075
1/1/2016 11:30,-3.505,-3.056,-2.123,0.028,0.978,3.552,0.068,0.068,0.075,0.096,0.079,0.075
1/1/2016 12:00,-3.232,-2.969,-2.14,0.025,0.977,3.55,0.069,0.068,0.075,0.096,0.079,0.075
1/1/2016 12:30,-2.922,-2.845,-2.149,0.022,0.976,3.548,0.07,0.068,0.075,0.096,0.079,0.075
1/1/2016 13:00,-2.607,-2.695,-2.151,0.018,0.975,3.546,0.071,0.069,0.075,0.096,0.079,0.075
1/1/2016 13:30,-2.303,-2.531,-2.141,0.015,0.974,3.545,0.072,0.069,0.075,0.096,0.079,0.075
1/1/2016 14:00,-2.022,-2.362,-2.123,0.012,0.973,3.544,0.073,0.069,0.075,0.096,0.079,0.075
1/1/2016 14:30,-1.799,-2.199,-2.097,0.01,0.972,3.543,0.074,0.07,0.075,0.096,0.079,0.075
1/1/2016 15:00,-1.632,-2.054,-2.064,0.008,0.971,3.542,0.075,0.07,0.075,0.096,0.079,0.075
1/1/2016 15:30,-1.494,-1.929,-2.027,0.004,0.969,3.54,0.075,0.07,0.075,0.096,0.079,0.075
1/1/2016 16:00,-1.38,-1.819,-1.987,0.003,0.969,3.539,0.076,0.071,0.075,0.096,0.079,0.075
1/1/2016 16:30,-1.295,-1.723,-1.945,0.001,0.969,3.539,0.076,0.071,0.075,0.096,0.079,0.075
1/1/2016 17:00,-1.243,-1.642,-1.906,-0.002,0.967,3.537,0.077,0.072,0.075,0.096,0.079,0.075
1/1/2016 17:30,-1.228,-1.575,-1.866,-0.003,0.965,3.536,0.077,0.072,0.075,0.096,0.079,0.075
1/1/2016 18:00,-1.257,-1.526,-1.829,-0.005,0.962,3.532,0.076,0.072,0.076,0.096,0.079,0.075
1/1/2016 18:30,-1.346,-1.496,-1.795,-0.002,0.959,3.53,0.076,0.073,0.076,0.096,0.079,0.075
1/1/2016 19:00,-1.497,-1.491,-1.761,0,0.956,3.528,0.076,0.073,0.076,0.096,0.079,0.075
