n_recs,evals_Linear Regression_rmse,evals_Linear Regression_mae,evals_Linear Regression_r2,evals_Decision Tree_rmse,evals_Decision Tree_mae,evals_Decision Tree_r2,evals_Random Forest_rmse,evals_Random Forest_mae,evals_Random Forest_r2,evals_Gradient Boosted Tree_rmse,evals_Gradient Boosted Tree_mae,evals_Gradient Boosted Tree_r2
30,0.4056,0.0681,-65.5648,0.0245,0.0125,0.7568,0.0346,0.0265,0.5166,0.0241,0.0118,0.7642
40,0.335,0.0629,-44.354,0.0245,0.013,0.7571,0.0339,0.0255,0.5362,0.0233,0.01,0.7799
50,0.2398,0.048,-22.2635,0.0319,0.0167,0.5874,0.0298,0.023,0.6402,0.0318,0.0157,0.5898
60,0.3451,0.0446,-47.2239,0.03,0.0146,0.6357,0.029,0.0218,0.6589,0.0291,0.0143,0.656
70,0.3858,0.047,-59.2496,0.026,0.0119,0.7273,0.0282,0.021,0.6785,0.0257,0.0114,0.7317
80,0.4528,0.05,-82.121,0.0248,0.0126,0.7499,0.0266,0.0198,0.7139,0.0252,0.0126,0.7436
90,0.3769,0.0475,-56.5247,0.0348,0.0183,0.5094,0.0273,0.0196,0.6981,0.0351,0.0156,0.5017
100,0.3942,0.0481,-62.0426,0.0242,0.0125,0.763,0.0272,0.02,0.6989,0.0228,0.0097,0.7893
110,0.4422,0.0498,-78.2387,0.0258,0.0122,0.7302,0.027,0.0195,0.7042,0.0253,0.0108,0.7416
120,0.4612,0.0498,-85.1154,0.0241,0.0128,0.7652,0.0249,0.0184,0.7482,0.0231,0.01,0.7842
130,0.4241,0.0481,-71.7385,0.0214,0.0104,0.8156,0.0255,0.0184,0.738,0.0238,0.0108,0.7715
140,0.4204,0.0477,-70.2305,0.0213,0.01,0.8179,0.0244,0.0176,0.759,0.0215,0.0091,0.8133
150,0.3294,0.0416,-42.6537,0.0212,0.0105,0.8188,0.0235,0.0167,0.7771,0.0205,0.0093,0.8311
160,0.5179,0.0499,-106.7541,0.0218,0.0099,0.809,0.0255,0.0177,0.7389,0.0226,0.0099,0.794
170,0.5476,0.051,-119.7765,0.02,0.0096,0.8395,0.024,0.0171,0.7685,0.0215,0.0089,0.8143
180,0.5775,0.0521,-133.9729,0.022,0.0104,0.8037,0.0244,0.0174,0.7598,0.0229,0.0095,0.7875
190,0.4895,0.0485,-96.1051,0.021,0.0099,0.8206,0.0254,0.0182,0.7385,0.02,0.0092,0.8377
200,0.4692,0.0475,-88.1899,0.0219,0.0109,0.8053,0.0227,0.0161,0.7915,0.0205,0.0099,0.8292
210,0.3955,0.0445,-62.3976,0.025,0.012,0.7461,0.0244,0.0173,0.7592,0.0243,0.0105,0.7607
220,0.3613,0.0428,-51.9304,0.021,0.0105,0.8203,0.023,0.0159,0.7862,0.0198,0.0085,0.8404
230,0.3637,0.0427,-52.6514,0.0216,0.0106,0.8101,0.0233,0.0159,0.7795,0.0218,0.0093,0.8068
240,0.3639,0.0423,-52.6423,0.0227,0.0111,0.7904,0.0222,0.0162,0.8002,0.0221,0.0096,0.8028
250,0.3334,0.0413,-44.0721,0.0222,0.0101,0.7997,0.0226,0.0166,0.7926,0.0213,0.0095,0.8168
260,0.3343,0.0413,-44.413,0.0208,0.0105,0.8247,0.022,0.0152,0.8041,0.0191,0.0087,0.8512
270,0.3601,0.042,-51.6679,0.0231,0.0112,0.7831,0.0215,0.0147,0.8123,0.0213,0.0092,0.8164
280,0.3519,0.0417,-49.2275,0.0226,0.0109,0.7935,0.0223,0.016,0.7983,0.0214,0.009,0.815
290,0.3371,0.0416,-45.1003,0.0206,0.01,0.8278,0.0212,0.0143,0.817,0.0193,0.0082,0.8494
