Tbvcol,Tbhcol,stemp,dtemp,lai,true_sm,ret_sm
243.19106,254.86064,286.78333,289.19376,5.99,0.1974421,0.122976237927163
243.42598,254.96579,287.15,289.1625,5.99,0.19743158,0.123270123825653
243.24252,254.99733,287.41666,289.1375,5.99,0.19733158,0.124424622389923
243.11674,255.31808,287.81665,289.125,5.99,0.19726843,0.125325461516591
242.93004,255.53746,288.25,289.11874,5.99,0.19723158,0.126673784223356
242.50856,255.72043,288.61667,289.1,5.99,0.19722632,0.12845582071989
242.25986,255.93738,289.15,289.0875,5.99,0.19714737,0.130281831089045
241.84686,256.13715,289.58334,289.0875,5.99,0.19716842,0.132260423699653
241.88829,256.90503,290.18335,289.09375,5.99,0.19712631,0.132584834076016
241.37054,256.91315,290.98334,289.1,5.99,0.19716842,0.136375730442133
241.59314,257.56738,291.08334,289.11874,5.99,0.19714737,0.134907769285395
241.57155,258.27704,292.01666,289.125,5.99,0.19707368,0.136579418879512
241.63805,258.73392,292.75,289.14374,5.99,0.19710526,0.13790798531709
240.41971,257.35745,293.45,289.18124,5.99,0.19709474,0.146006656694481
241.849,259.57248,294.35,289.21875,5.99,0.197,0.141032744731584
241.87679,260.1165,294.91666,289.25,5.99,0.19694737,0.141792074350406
241.89526,260.45676,295.11667,289.3,5.99,0.19696316,0.141780984426955
242.62195,261.65744,296.21667,289.5125,5.98,0.19682631,0.141407628242642
243.34482,261.79892,295.98334,289.55624,5.98,0.19668947,0.138561613978095
243.13904,261.49234,296.45,289.61874,5.98,0.19665264,0.141286435785362
243.5951,262.4432,296.5833,289.675,5.98,0.19659473,0.13874737192717
243.06169,261.52612,296.38333,289.75,5.98,0.19667895,0.141310678238043
244.0644,262.90622,296.38333,289.80624,5.98,0.19668947,0.136119463640067
242.95743,261.1297,296.55,289.86874,5.98,0.19658947,0.143021339109421
243.28972,261.15393,296.55,289.9125,5.98,0.19628948,0.142163927734919
243.61882,261.27078,296.78333,289.95624,5.98,0.1963158,0.141909247968362
244.63074,262.62918,296.88333,290.01874,5.98,0.19634737,0.137043203922011
243.39937,261.07025,296.88333,290.05,5.98,0.19626842,0.143286398222583
245.10538,263.1756,296.91666,290.1,5.98,0.19626842,0.134958408065738
244.52544,262.81226,296.91666,290.15625,5.98,0.19620526,0.137189260345773
244.35622,262.01508,296.91666,290.2,5.98,0.19618422,0.139216912793327
245.03546,262.8221,296.78333,290.23126,5.98,0.19613157,0.13550629743789
244.8221,262.3056,296.58334,290.2875,5.98,0.19600527,0.136448885495854
244.88185,262.36945,296.38333,290.325,5.98,0.19599473,0.135557113922758
244.68259,262.03107,296.18332,290.35626,5.97,0.19593158,0.136095019609472
244.50162,261.41293,296.05,290.3875,5.97,0.19591579,0.13734645960668
244.48524,261.3571,295.71667,290.4125,5.97,0.19587368,0.136433646971421
244.84387,261.3993,295.45,290.4375,5.97,0.19583158,0.13460740141147
244.7862,261.2241,295.25,290.4625,5.97,0.19566841,0.134468616349977
244.4885,260.76105,294.91666,290.46875,5.97,0.1956421,0.135040687823963
244.4374,260.54474,294.58334,290.48126,5.97,0.19563684,0.134526059216919
244.4693,260.52496,294.25,290.48126,5.97,0.19561578,0.133418076028434
244.46815,259.98273,293.88333,290.4875,5.97,0.19560526,0.1332935380657
244.30971,259.73605,293.51666,290.49374,5.97,0.19558421,0.133000240857328
244.41429,259.35217,293.18332,290.48126,5.97,0.19549474,0.13240269804418
244.37782,259.16382,292.85,290.48126,5.97,0.19545263,0.131799717285269
244.43065,258.98813,292.48334,290.46875,5.97,0.19545263,0.130838866738746
244.4634,258.9486,292.21667,290.44376,5.97,0.19543158,0.129977083627342
244.50768,258.6541,291.91666,290.43124,5.97,0.19541052,0.12947558050173
244.54668,258.54404,291.58334,290.4125,5.97,0.1954,0.128536558660608
244.72446,258.51044,291.35,290.38126,5.97,0.19532105,0.127414326850287
244.84044,258.39874,290.98334,290.35,5.97,0.19523159,0.12618569772385
244.66881,258.1847,290.71667,290.34375,5.97,0.19527368,0.126183689670126
244.97433,258.25012,290.48334,290.30624,5.97,0.19522631,0.124573269242627
244.86511,257.8858,290.25,290.28125,5.97,0.19523685,0.124779372476201
245.11201,258.1883,290.05,290.25,5.96,0.19513159,0.122993983302532
245.28792,258.20514,289.85,290.21875,5.96,0.1951579,0.121907972353628
245.43895,258.13126,289.61667,290.19376,5.96,0.19509473,0.120957185870239
245.41736,257.94073,289.45,290.1625,5.96,0.19500527,0.120829333817391
245.35463,257.80646,289.15,290.125,5.96,0.19498421,0.120303730915049
245.12187,257.731,288.91666,290.075,5.96,0.19492105,0.120268297826665
245.0258,257.66116,288.75,290.05,5.96,0.19494736,0.120112469833179
244.95567,257.42294,288.55,290,5.96,0.19493158,0.12007350915557
244.8057,257.08572,288.31668,289.9625,5.96,0.1948,0.120319900342871
244.82155,257.12775,288.15,289.9375,5.96,0.1948,0.119694941407957
244.84106,257.10773,287.95,289.8875,5.96,0.19473158,0.119052333037432
244.87222,256.95624,287.78333,289.8625,5.96,0.19475263,0.118738584878241
244.93819,256.93326,287.58334,289.83124,5.96,0.19473158,0.118011358644944
244.98811,256.8849,287.35,289.7875,5.96,0.19469474,0.1172617107865
244.80629,256.68814,287.18335,289.7625,5.96,0.19466843,0.11754184693781
244.9053,256.63464,287.05,289.71875,5.96,0.19465263,0.116972888083191
244.81601,256.34848,286.85,289.7,5.96,0.19463158,0.117100081501517
244.84996,256.3003,286.71667,289.65,5.96,0.19461052,0.116672610895032
244.89923,256.35266,286.61667,289.61874,5.96,0.19461052,0.11614619321269
245.0011,256.17084,286.51666,289.575,5.96,0.19452631,0.115893310724137
244.8833,255.98265,286.31668,289.53125,5.96,0.19450526,0.115893080567846
244.93669,255.78627,286.18335,289.50626,5.95,0.19450526,0.115706401574765
244.94386,255.86368,285.98334,289.4625,5.95,0.19446842,0.114943344375322
245.04607,255.81494,285.88333,289.425,5.95,0.19445263,0.114464569146028
245.04146,255.7527,285.71667,289.39374,5.95,0.19436842,0.114083456174102
245.00021,255.55756,285.61667,289.35,5.95,0.19428948,0.114196515746313
244.97157,255.32562,285.51666,289.31876,5.95,0.19433685,0.114356562897621
244.86818,255.15999,285.35,289.28125,5.95,0.19427368,0.11438562952753
244.68376,254.93436,285.31668,289.25,5.95,0.19423684,0.115094415952245
244.75621,254.83414,285.31668,289.2,5.95,0.19420527,0.115046790824909
244.53441,254.62703,285.18332,289.16876,5.95,0.19416316,0.115531446998741
244.46066,254.46204,285.48334,289.1375,5.95,0.1941421,0.116818268812507
244.76736,254.87828,285.48334,289.11874,5.95,0.19408947,0.115331868774099
