Datetime,tb_h_fore,tb_v_fore,tb_h_aft,tb_v_aft
1/1/2016 23:48,242.12,257.05,240.26,258.79
1/3/2016 14:36,241.86,257.91,241.08,258.36
1/3/2016 17:35,240.3,257.72,241.99,256.79
1/5/2016 4:35,243.09,257.22,243.86,256.13
1/6/2016 6:36,241.8,259.14,240.98,258.73
1/6/2016 22:24,242.99,258.91,242.98,259.73
1/8/2016 9:24,242.94,257.73,244.37,258.65
1/8/2016 12:23,244.88,260.72,242.23,258.61
1/9/2016 23:48,247.72,260.79,249.57,262.67
1/11/2016 14:36,249.81,261.31,250.9,262.27
1/11/2016 17:35,250.37,262.39,246.78,262.84
1/13/2016 4:35,243.11,259.62,246.48,260.04
1/14/2016 6:36,234.38,259.24,238.25,257.51
1/14/2016 22:24,241.41,259.26,239.14,259.94
1/16/2016 9:24,241.62,259.22,242.19,259.68
1/16/2016 12:47,243.24,259.32,240.76,258.97
1/17/2016 23:48,242.53,258.2,243.34,258.86
1/19/2016 14:36,243.02,258.79,242.89,260.38
1/19/2016 17:35,240.88,258.57,242.05,259.53
1/21/2016 4:35,244.81,259.38,244.95,259.58
1/22/2016 6:36,244.15,265.93,244.01,259.64
1/22/2016 22:24,245.93,262.21,243.74,259.35
1/24/2016 9:47,243.34,258.54,243.28,258.06
1/24/2016 12:47,243.61,258.5,243.37,262.27
1/25/2016 23:48,242.54,256.99,245.56,258.96
1/27/2016 14:36,244.62,258.55,244.62,259.75
1/27/2016 17:35,245.67,261.77,248.6,259.71
1/29/2016 5:00,245.63,257.67,248.11,259.08
1/30/2016 6:59,246.65,262.18,247.56,260.23
1/30/2016 22:47,246.27,262.61,247.27,260.65
2/1/2016 9:47,251.97,261.65,252.45,261.84
2/1/2016 12:47,249.72,263.63,251.3,263.39
2/2/2016 23:48,245.8,260.84,249.05,258.26
2/4/2016 14:36,246.04,258.88,246.32,262.39
2/4/2016 17:35,244.03,259.08,245.83,258.83
2/6/2016 5:00,245.48,259.66,248.4,259.6
2/7/2016 6:59,245.51,260.72,244.14,260.89
2/7/2016 22:47,246.88,263.12,245.32,261.22
2/9/2016 9:47,247.4,261.14,247.16,261.59
2/9/2016 12:47,237.65,254.57,238.1,255.3
2/11/2016 0:12,246.84,262.17,250.56,261.24
2/12/2016 15:00,250.18,263.49,250.58,263.54
2/12/2016 18:00,243.79,262.52,243.83,260.06
2/14/2016 5:00,251.09,262.91,251.43,261.48
2/15/2016 6:59,247.99,260.29,245.46,260.57
2/15/2016 22:47,239.42,257.35,240.09,258.36
2/17/2016 9:47,244.01,262.13,246.39,262.04
2/17/2016 12:47,239.37,258.81,238.35,257.15
2/19/2016 0:12,245.23,262.04,244.72,262.67
2/20/2016 15:00,247.88,261.64,246.26,261.54
2/20/2016 18:00,239.67,258.98,242.56,258.23
2/22/2016 5:00,249.81,263.28,250.36,265.17
2/23/2016 6:59,239.23,259.1,239.52,258.85
2/23/2016 22:47,245.2,259.93,246.07,260.57
2/25/2016 9:47,246.63,260.91,245.56,261.39
2/25/2016 12:47,240.13,259.77,243.55,259.16
2/27/2016 0:12,248.77,260.05,246.74,260.95
2/28/2016 15:00,249.33,262.69,249.48,261.76
2/28/2016 18:00,244.8,258.51,244.52,258.36
3/1/2016 5:00,246.97,260.99,249.16,264.53
3/2/2016 6:59,243.61,255.67,240.47,255.41
3/2/2016 22:47,244.57,256.25,243.06,256.56
3/4/2016 9:47,252.84,263.52,248.22,262.81
3/4/2016 13:11,241.63,256.75,241.74,257.19
3/6/2016 0:12,251.36,263.06,248.37,263.52
3/7/2016 15:00,250.32,263.92,250.63,263.44
3/7/2016 18:00,240.53,255.14,240.17,253.91
3/9/2016 5:00,249.83,262.59,249.43,263.23
3/10/2016 6:59,240.73,255.89,240.52,254.79
3/10/2016 22:47,241.13,256.19,242.23,257.2
3/12/2016 10:12,250.56,263.25,247.93,260.18
3/12/2016 13:11,240.18,257.5,240.94,256.92
3/14/2016 0:12,251.11,260.48,250.09,262.56
3/15/2016 15:00,250.41,263.22,251.1,261.31
3/15/2016 18:00,239.63,256.21,238.8,255.89
3/17/2016 5:00,245.83,257.13,246.33,257.68
3/18/2016 6:59,224.2,248.69,224.96,249.29
3/18/2016 22:47,213.27,240.68,217.62,242.61
3/20/2016 10:12,231.46,252.3,232.66,251.77
3/20/2016 13:11,211.81,241.74,211.21,242.77
3/22/2016 0:12,224.76,243.9,223.29,245.12
3/23/2016 15:00,226,250.38,225.03,251.15
3/23/2016 18:00,202.3,230.07,206.31,233.91
3/25/2016 5:00,232.7,254.18,231.94,252.16
3/26/2016 6:59,194.36,226.73,201.23,232.72
3/26/2016 22:47,199.21,231.51,202.44,232.24
3/28/2016 10:12,229.86,252.53,230.41,251.97
3/28/2016 12:47,202.87,231.52,199.9,231.83
3/30/2016 0:12,229.54,248.56,227.67,248.99
3/31/2016 15:00,229.42,252.22,230.83,253.71
3/31/2016 18:00,190.26,222.28,191.49,224.89
4/2/2016 5:00,222.87,246.89,223.85,246.08
4/3/2016 6:59,193.83,227.7,190.37,225.51
4/3/2016 22:47,192.77,227.46,195.42,229.47
4/5/2016 9:47,203.64,229.77,200.49,231.57
4/7/2016 0:12,193.28,226.1,195.87,227.79
4/8/2016 15:00,204.07,231.11,204.96,232.64
4/8/2016 18:00,192.92,223.75,196.37,229.48
4/10/2016 5:00,202.99,232.73,202.58,230.51
4/11/2016 6:59,193.39,227.68,188.87,225.12
4/11/2016 22:47,192.67,225.54,193.46,227.83
4/13/2016 5:35,194.39,214.59,193.13,212.85
4/13/2016 12:47,192.45,227.2,188.44,223.54
4/15/2016 0:12,200.02,229.12,201.81,229.65
4/16/2016 15:00,223.98,250.82,226.47,249.66
4/16/2016 18:00,188.24,225.32,191.96,225.33
4/18/2016 5:00,228.52,253.34,229.08,254.55
4/19/2016 6:59,203.17,236.19,198.01,232.14
4/19/2016 22:47,209.39,236.9,210.97,239.81
4/21/2016 9:47,207.1,232.94,202.82,230.94
4/21/2016 12:47,194.6,230.49,193.46,228.58
4/23/2016 0:12,201.43,226.6,202.89,226.7
4/24/2016 15:00,197.93,229.08,197.16,229.33
4/24/2016 17:35,187.77,224.7,188.37,224.82
4/26/2016 0:47,202.91,224.01,205.78,224.23
4/27/2016 6:59,185.19,224.08,182.09,222.99
4/27/2016 22:47,190.2,224.57,190.09,226.11
4/29/2016 9:47,198.32,227.13,196.47,226.2
4/29/2016 12:47,202.92,236.43,200.09,233.62
5/4/2016 5:00,209.37,237.57,213.88,238.98
5/5/2016 6:59,218.32,246.19,214.95,245.11
5/5/2016 22:47,220.4,247.75,221.87,248.44
5/7/2016 9:47,184.4,219.9,182.81,217.09
5/7/2016 12:47,184.92,221.88,186.21,224.64
5/8/2016 23:48,179.88,217.75,183.99,218.22
5/10/2016 14:36,196.74,229.88,199.73,230.51
5/10/2016 17:35,192.58,230.42,195.69,232.12
5/12/2016 5:00,199.11,230.6,197.64,230.13
5/13/2016 6:59,204.26,238.74,202.27,237.13
5/13/2016 22:24,205.01,238.84,205.96,239.4
5/15/2016 9:47,206.22,235.38,202.03,229.85
5/15/2016 12:47,193.7,228.34,192.95,229.01
5/16/2016 23:48,192.89,227.17,194.8,227.78
5/18/2016 14:36,197.65,230.46,197.51,230.65
5/18/2016 17:35,194.25,227.98,198.41,230.67
5/20/2016 4:35,195.86,228.97,194.13,228.66
5/21/2016 6:36,207.69,241.13,204.44,239.1
5/21/2016 22:24,191.45,227.04,194.08,230.68
5/23/2016 9:47,181.97,218.55,181.85,216.77
5/23/2016 12:47,189.91,227.61,190.6,228.81
5/24/2016 23:48,198.35,233.27,198.67,234.93
5/26/2016 14:36,215.8,238.54,217.32,236.47
5/26/2016 17:35,185.83,220.13,187.82,223.04
5/28/2016 4:35,180.9,217.96,183.66,215.38
5/29/2016 6:36,176.86,219.56,177.31,217.78
5/29/2016 22:24,184.52,224.29,188.74,226.42
5/31/2016 9:47,180.83,216.88,176.38,213.16
5/31/2016 12:47,178.72,217.38,180.06,220.95
6/1/2016 23:48,172.43,209.97,172.87,207.96
6/3/2016 14:36,178.64,216.67,178.7,215.98
6/3/2016 17:35,184,219.14,191.14,225.89
6/5/2016 4:35,188.62,225.68,189.44,219.25
6/6/2016 6:36,198.29,233.1,198.25,235.64
6/6/2016 22:24,189.61,224.24,194.4,228.81
6/8/2016 9:47,199.67,230.17,197.47,228.99
6/8/2016 12:47,187.12,221.7,186.58,220.97
6/9/2016 23:48,179.39,216.39,180.64,215.74
6/11/2016 14:36,178.74,214.04,177.44,213.38
6/11/2016 17:35,179.07,218.01,180.34,219.38
6/13/2016 5:00,189.93,222.18,187.8,220.69
6/14/2016 6:59,198.7,233.77,197.15,232.54
6/14/2016 22:47,196.58,228.8,199.08,230.61
6/16/2016 9:47,196.13,226.72,192.41,225.15
6/16/2016 12:47,205.37,237.68,202.25,236.67
6/17/2016 23:48,207.76,238.65,211.56,235.84
6/19/2016 14:36,203.47,234.35,202.92,234.58
6/19/2016 17:35,205.55,236.87,207.53,240.22
6/21/2016 5:00,216.97,242.52,213.61,239.49
6/22/2016 6:59,215.81,245.7,212.52,244.53
6/22/2016 22:47,214.11,241.14,214.19,245.01
6/24/2016 9:47,207.2,235.75,203.43,230.04
6/24/2016 12:47,194.7,224.94,195.84,226.36
6/26/2016 0:12,203.58,230.82,204.77,232.89
6/27/2016 15:00,187.68,217.11,188.3,217.74
6/27/2016 18:00,198.04,227.96,195.76,228.29
6/29/2016 5:00,207.83,232.55,209.44,234.17
6/30/2016 6:59,212.42,239.22,209.27,238.66
6/30/2016 22:47,203.6,232.9,204.42,234.63
7/2/2016 9:47,209.2,233.84,205.31,232.25
7/2/2016 12:47,211.67,236.26,207.97,237.8
7/4/2016 0:12,217.51,241.79,218.13,240.02
7/5/2016 15:00,222.69,246.69,223.4,246.28
7/5/2016 18:00,227.56,246.52,225.28,246.66
7/7/2016 5:00,221.91,245.28,221.58,242.52
7/8/2016 6:59,213.17,238.86,213.15,237.59
7/8/2016 22:47,197.99,225.81,198.37,226.77
7/10/2016 9:47,207.28,231.9,201.04,229.17
7/10/2016 12:47,209.34,236.27,208.26,235.73
7/12/2016 0:12,198.42,227.06,199.03,224.37
7/13/2016 15:00,204.63,230.43,205.19,229.87
7/13/2016 18:00,202.05,225.79,206.61,230.31
7/15/2016 5:00,200.48,226.42,199.01,223.21
7/16/2016 6:59,205.49,234.2,203.77,236.12
7/16/2016 22:47,211.35,240.73,213.4,241.79
7/18/2016 10:12,204.61,230.24,206.04,231.56
7/18/2016 12:47,201.08,232.67,203.96,232.39
7/20/2016 0:12,212.36,234.58,210.44,233.77
7/21/2016 15:00,221.04,244.32,221.94,245.66
7/21/2016 18:00,221.91,244.93,224.74,246.94
7/23/2016 5:00,216.13,240.39,220.63,238.65
7/24/2016 6:59,217.04,244.85,218.06,243.26
7/24/2016 22:47,207.57,237.52,209.99,238.33
7/26/2016 10:12,205.56,232.24,206.19,227.79
7/26/2016 13:11,208.06,237.28,209.01,238.09
7/28/2016 0:12,212.61,238.29,215.82,236.48
7/29/2016 15:00,223.22,243.55,223.63,243.46
7/29/2016 18:00,225.14,247.42,226.11,249.52
7/31/2016 5:00,225.69,249.6,230.74,249.04
8/1/2016 6:59,232.81,254.36,231.6,253.61
8/1/2016 22:47,233.83,255.71,234.58,256.83
8/3/2016 10:12,234.35,252.72,230.92,251.75
8/3/2016 13:11,233.76,255.04,235.6,257.27
8/5/2016 0:12,213.53,234.03,210.59,234.11
8/6/2016 15:00,219.42,241.25,221.55,241.26
8/6/2016 18:00,219.8,245.77,219.09,246.81
8/8/2016 5:00,228.37,246.44,226.89,244.75
8/9/2016 6:59,232.41,255.58,230.99,253.88
8/9/2016 22:47,235.31,258.41,235.23,258.21
8/11/2016 10:12,235.79,254.56,236.36,255.65
8/11/2016 13:11,240.8,261.36,239.13,258.52
8/13/2016 19:24,201,220.28,200.77,220.59
8/14/2016 15:00,224.51,245.99,224.71,245.95
8/14/2016 18:00,228.03,252.9,229.39,252.88
8/16/2016 5:00,231.87,252.03,234.59,251.89
8/17/2016 6:59,237.68,261.14,237.28,259.19
8/17/2016 22:47,242.65,266.48,240.93,263.79
8/19/2016 10:12,240.82,258.14,240.77,260.05
8/19/2016 13:11,242.42,261.91,239.58,264.62
8/21/2016 0:12,245.78,265.02,244.46,263.94
8/22/2016 15:00,248.71,265.11,248.7,263.58
8/22/2016 18:00,248.55,265.06,247.41,265.58
8/24/2016 5:00,214.41,239.23,214.3,237.86
8/25/2016 6:59,220.01,246.47,214.95,245.42
8/25/2016 22:47,213.24,242.14,213.77,242.74
8/27/2016 10:12,213.79,236.88,212.74,236.39
8/27/2016 13:11,209.77,236.09,211.86,239.24
8/29/2016 0:12,213.59,237.36,215.93,237.93
8/30/2016 15:00,215.46,237.83,216.1,237.17
8/30/2016 18:00,204.26,233.47,207.51,234.81
9/1/2016 5:00,207.39,234.05,206.72,229.9
9/2/2016 6:59,206.4,237.06,204.17,237.4
9/2/2016 22:47,210.05,233.87,208.98,236.86
9/4/2016 10:12,207.45,233.41,206.4,229.6
9/4/2016 13:11,206.12,229.12,208.96,232.68
9/7/2016 15:00,209.18,232.1,210.19,232.57
9/7/2016 18:00,198.52,225.55,203.82,228.75
9/9/2016 5:00,202.17,229.36,203.93,227.2
9/10/2016 6:59,199.78,229.31,199.28,230.51
9/10/2016 22:47,199.87,231.45,203.31,232.39
9/12/2016 10:12,206.81,232.17,207.35,233.2
9/12/2016 13:11,206.99,233.25,203.41,237.08
9/14/2016 0:12,202.95,229.11,201.65,228.63
9/15/2016 15:00,209.11,232.63,210.31,233.92
9/15/2016 18:00,201.68,232.77,203.6,234.34
9/17/2016 5:00,202.55,229.58,201.75,227.76
9/18/2016 6:59,197.11,228.19,196.81,228.25
9/18/2016 22:47,197.47,224.87,200,226.33
9/20/2016 10:12,201.97,226.31,195.1,222.48
9/20/2016 13:11,190.84,222.62,196.01,225.65
9/22/2016 0:12,192.93,222.57,193.51,221.9
9/23/2016 15:00,201.29,226,202.22,225.6
9/23/2016 18:00,197.23,225.36,199.71,230.59
9/25/2016 5:00,198.83,225.05,198.77,223.89
9/26/2016 6:59,193.51,227.29,194.63,226.84
9/26/2016 22:47,188.81,220.35,190.61,222.44
9/30/2016 0:12,183.68,216.31,185.03,214.84
10/1/2016 15:00,190.11,218.73,189.63,218.27
10/1/2016 18:00,187.73,221.62,191.33,223.18
10/3/2016 5:00,185.02,217.54,184.32,217
10/4/2016 6:59,193.4,227.3,192.55,226.38
10/4/2016 22:47,192.17,223.89,194.41,225.88
10/6/2016 10:12,198.93,226.03,194.59,221.53
10/6/2016 13:11,191.8,220.3,197.78,223.54
10/8/2016 0:12,191.43,221.37,195.3,219.13
10/9/2016 15:00,193.57,220.97,194.86,221.05
10/9/2016 18:00,187.84,217.53,189.85,220.39
10/11/2016 5:00,196.78,222.49,198.22,222.63
10/12/2016 6:59,190.39,219.64,190.99,219.89
10/12/2016 22:47,192.97,217.65,192.76,220.71
10/14/2016 9:47,186.06,216.22,185.42,214.94
10/14/2016 13:11,186.1,215.76,186.83,215.57
10/16/2016 0:12,189.95,216.09,192.54,219.51
10/17/2016 15:00,187.06,220.53,189.25,218.74
10/17/2016 18:00,178.45,210.77,177.93,213.65
10/19/2016 5:00,199.89,223.73,199.91,221.47
10/20/2016 2:47,242.87,257.64,238.38,252.75
10/20/2016 22:47,180.78,215.07,183.65,217.7
10/22/2016 9:47,183.02,215.97,182.85,214.66
10/22/2016 12:47,182.83,219.76,190.56,221
10/24/2016 0:12,179.47,213.01,178.23,212.3
10/25/2016 15:00,184.49,216.87,185.01,218.01
10/25/2016 18:00,181.82,217.39,187.83,222.31
10/27/2016 5:00,187.92,220.37,185.5,217.55
10/28/2016 6:59,184.71,220.73,184.98,220.45
10/28/2016 22:24,184.87,217.79,187.1,220.21
10/30/2016 9:24,206.02,235.3,202.63,232.1
10/30/2016 12:23,181.8,214.38,181.57,216.98
10/31/2016 23:48,214.61,242.85,215.43,239.76
11/2/2016 14:36,205.26,234.02,203.96,234.13
11/2/2016 17:35,182.25,218.16,184.92,219.14
11/4/2016 4:35,217.94,244.04,216.41,242.59
11/5/2016 6:36,181.51,218.87,181.32,218.63
11/5/2016 22:24,184.68,218.99,185.49,221.92
11/7/2016 9:24,198.77,227.3,195,226.64
11/7/2016 12:23,190.51,223.3,186.11,220.11
11/8/2016 23:48,203.44,229.27,201.21,228.68
11/10/2016 14:36,223.05,248.15,220.9,248.65
11/10/2016 17:35,190.91,222.92,189.95,224.93
11/12/2016 4:35,221.67,246.29,219.48,246.51
11/13/2016 6:36,186.47,220.38,185.84,220.22
11/13/2016 22:24,187.43,221.88,190.66,224.17
11/15/2016 9:24,221.6,248.93,219.72,247.64
11/15/2016 12:23,189.58,222.94,188.59,221.27
11/16/2016 23:48,216.79,244.62,218.59,244.62
11/18/2016 14:36,222.95,248.65,222.54,248.84
11/18/2016 17:35,192.76,227.25,191.91,225.48
11/20/2016 4:35,223.66,247.86,221.29,246.62
11/21/2016 6:36,194.04,227.71,192.62,227.52
11/21/2016 22:24,195.28,227.6,195.97,229.36
11/23/2016 9:47,222.4,247.27,221.79,247.51
11/23/2016 12:47,194.33,227.71,195.69,226.79
11/24/2016 23:48,220.08,248.59,221.38,249.26
11/26/2016 14:36,223.41,251.33,224.06,250.15
11/26/2016 17:35,208.96,235.29,213.17,241.76
11/28/2016 4:35,223.59,250.09,226.91,251.87
11/29/2016 6:36,200.51,231.14,199.11,231.28
11/29/2016 22:24,209.75,238.82,212.07,239.61
12/1/2016 9:47,227.46,252.37,226.35,253.75
12/1/2016 12:47,209.82,237.08,212.34,239.38
12/2/2016 23:48,229.1,255.26,230.03,252.94
12/4/2016 14:36,230.89,253.66,230.56,253.9
12/4/2016 17:35,213.27,240.85,212.25,241.9
12/6/2016 4:35,229.67,252.92,233.23,253.96
12/7/2016 6:36,210.16,238.81,210.02,239.96
12/7/2016 22:24,216.47,243.7,217.83,247.06
12/9/2016 9:47,228.69,253.18,228.04,252.58
12/9/2016 12:47,211.32,238.15,212.41,238.48
12/10/2016 23:48,226.55,254.75,228.2,254.23
12/12/2016 14:36,230.95,253.71,231.58,252.73
12/12/2016 17:35,218.8,245.42,219.35,245.42
12/14/2016 5:00,231.19,253.67,234.28,254.78
12/15/2016 6:59,221.62,248.77,223.96,248.23
12/15/2016 22:47,226.93,250.23,227.11,250.35
12/17/2016 9:47,233.26,254.57,233.28,254.03
12/17/2016 12:47,225.61,248.41,225.85,248.93
12/18/2016 23:48,234.44,255.07,232,254.75
12/20/2016 14:36,234.87,256.12,234.45,255.59
12/20/2016 17:35,227.97,250.61,228.01,251.05
12/22/2016 5:00,235.28,257.46,239.02,256.97
12/23/2016 6:59,230.08,252.03,228.81,251.71
12/23/2016 22:47,229.02,253,232.6,252.21
12/25/2016 9:47,235.87,256.75,239.06,254.89
12/25/2016 12:47,232.33,256.01,231.75,252.35
12/26/2016 23:48,239.71,258.24,239.75,258.57
12/28/2016 14:36,238.78,256.84,239.02,257.58
12/28/2016 13:24,225.99,245.93,228.82,246.5
12/30/2016 5:00,237.59,254.93,237.6,253.67
12/31/2016 6:59,236.22,255.77,234.83,255.91
12/31/2016 22:47,234.75,255.88,236.57,256.19
1/2/2017 9:47,240.38,258.22,238.85,257.47
1/2/2017 12:47,235.33,254,236.37,254.14
1/3/2017 23:48,239.78,258.18,238.9,258.1
1/5/2017 14:36,241.38,258.28,243.66,259.7
1/5/2017 17:35,237.6,257.33,237.84,255.38
1/7/2017 5:00,238.85,256.91,242.77,259.3
1/8/2017 6:59,240.73,257.16,237.19,258.9
1/8/2017 22:47,240.25,258.09,242.13,261.5
1/10/2017 9:47,243.11,256.97,243.61,259.8
1/10/2017 12:47,245.31,259.77,243.1,257.25
1/12/2017 0:12,247.37,260.98,246.24,262.17
1/13/2017 14:36,245.58,259.12,246.33,260.96
1/13/2017 17:35,244.26,261.24,242.8,257.55
1/15/2017 5:00,242.77,261.39,245.68,261.5
1/16/2017 6:59,241.34,259.15,241.77,259.47
1/16/2017 22:47,243.7,258.3,243.2,260.53
1/18/2017 9:47,242.23,258.26,244.07,258.87
1/18/2017 12:47,240.49,258.56,241.6,259.82
1/20/2017 0:12,244.68,261.35,243.7,259.84
1/21/2017 14:36,243.45,260.11,243.66,260.03
1/21/2017 18:00,245.28,262.17,243.1,258.68
1/23/2017 5:00,243.84,259.36,242.74,257.71
1/24/2017 6:59,244.42,260.12,242.17,259.78
1/24/2017 22:47,244.37,257.7,244.72,258.87
1/26/2017 9:47,244.01,258.75,245.3,259.53
1/26/2017 12:47,240.12,256.07,239.3,255.84
1/28/2017 0:12,246.58,258.42,246.29,260.41
1/29/2017 15:00,249.4,261.73,248.75,261.89
1/29/2017 18:00,243.34,259.46,245.97,258.08
1/31/2017 5:00,248.31,261.59,248.74,264.89
2/1/2017 6:59,241.46,259.85,243.05,258.95
2/1/2017 22:47,242.58,256.87,244.19,258.91
2/3/2017 9:47,243.68,261.27,246.37,261.07
2/3/2017 12:47,244.64,259.35,241.42,257.4
2/5/2017 0:12,246.45,260.3,246.01,260.57
2/6/2017 15:00,247.06,260.75,246.44,264.61
2/6/2017 18:00,237.89,254.58,236.39,251.45
2/8/2017 5:00,248.49,263.86,252.89,263.66
2/9/2017 6:59,245.91,259.72,243.04,260.2
2/9/2017 22:47,242.34,257.53,243.86,258.62
2/11/2017 9:47,252.72,262.25,248.05,262.53
2/11/2017 12:47,245.3,258.14,243.78,260.24
2/13/2017 0:12,245.05,260.24,246.17,261.25
2/14/2017 15:00,246.89,262.12,246.34,261.54
2/14/2017 18:00,242.97,259.36,244.15,256.89
2/16/2017 5:00,246.52,262.35,247.71,260.78
2/17/2017 6:59,240.9,256.96,239.84,255.38
