Datetime,shortwave_upwelling,shortwave_downward,longwave_upwelling,longwave_downward,air temperature,relative humidity ,wind speed,wind direction,Pre_situ_mm,air pressure
3/29/2017 13:30,233.4,1016,490.2,265.5,10.9,32.3,0.421,2.2932,NAN,67686.97
3/29/2017 14:00,176.7,771.1,465.1,273.4,12.19,NAN,NAN,3.597067,NAN,67686.97
3/29/2017 14:30,181.9,785.3,460,280.2,12.23,NAN,NAN,3.886399,NAN,67686.97
3/29/2017 15:00,71.21,311.5,404.1,315.8,11.55,NAN,NAN,3.764533,NAN,67686.97
3/29/2017 15:30,35.56,153.2,383.7,317.8,11.22,27.18,0.362,3.0644,NAN,67629.91
3/29/2017 16:00,17.04,76.83,374.4,320.8,11.13,27.93,0.369,1.3896,NAN,67601.87
3/29/2017 16:30,8.48,40.56,364,321.8,10.63,28.42,0.364,2.2356,NAN,67605.29
3/29/2017 17:00,28.71,126.9,365.1,317.7,9.63,31.93,0.382,4.2964,NAN,67623.75
3/29/2017 17:30,21.11,94.2,360.3,312.3,8.42,42.67,0.471,4.461867,NAN,67651.43
3/29/2017 18:00,19.72,87.9,352.4,302.4,7.309,45.81,0.468,7.661867,NAN,67719.41
3/29/2017 18:30,7.034,32.21,335.7,304.3,3.491,72.53,0.569,11.2792,NAN,67804.89
3/29/2017 19:00,4.364,17.31,325,294.5,1.196,83,0.553,10.5952,NAN,67887.4
3/29/2017 19:30,1.191,2.487,321.5,278.8,1.204,75.29,0.502,9.330265,NAN,67938.22
3/29/2017 20:00,0.272,0,317.5,269.8,0.736,70.81,0.456,9.256266,NAN,68003.72
3/29/2017 20:30,0.158,0,317.5,288.6,0.314,73.1,0.457,9.078933,NAN,68099.83
3/29/2017 21:00,0.105,0,316.4,288.4,0.015,75.56,0.462,8.458666,NAN,68159.31
3/29/2017 21:30,0.354,0,314.2,278.4,-0.046,71.75,0.437,6.3124,NAN,68231.16
3/29/2017 22:00,0.238,0,312.1,271.1,-0.21,70.63,0.425,5.499066,NAN,68251.99
3/29/2017 22:30,0.178,0,309,262.4,-0.645,73.21,0.427,4.087467,NAN,68241.63
3/29/2017 23:00,0.192,0,307.9,265.1,-0.82,73.18,0.421,3.509467,NAN,68294.56
3/29/2017 23:30,0.297,0,306.8,266.7,-1.043,74.64,0.422,3.143733,NAN,68317.21
3/30/2017 0:00,0.222,0,306.6,264.3,-1.013,73.29,0.416,3.915333,NAN,68337.94
3/30/2017 0:30,0.27,0,304.8,260.9,-1.426,76.39,0.42,3.4592,NAN,68349.28
3/30/2017 1:00,0.099,0,303.7,260.6,-1.831,78.25,0.418,3.669737,NAN,68367.1
3/30/2017 1:30,0.247,0,302.2,262.6,-2.423,82.7,0.423,3.3048,NAN,68384.39
3/30/2017 2:00,0.67,0,304.8,281.9,-2.338,83.5,0.43,2.9428,NAN,68398.74
3/30/2017 2:30,0.471,0,305.7,283.9,-2.009,81.7,0.431,2.541867,NAN,68407.67
3/30/2017 3:00,0.122,0,301.4,266.4,-2.547,84.2,0.427,2.198684,NAN,68398.26
3/30/2017 3:30,0.297,0,300,261.9,-2.848,85,0.421,2.343066,NAN,68394.53
3/30/2017 4:00,0.876,0,303.7,285.8,-2.607,85.8,0.433,1.390667,NAN,68404.33
3/30/2017 4:30,0.323,0,302.1,280.8,-2.564,85.1,0.431,0.6328948,NAN,68427.09
3/30/2017 5:00,0.375,0,291.8,246,-2.927,85.7,0.422,0.7151999,NAN,68438.87
3/30/2017 5:30,0.613,0,288.2,229.7,-3.517,83.3,0.393,1.358267,NAN,68449.18
3/30/2017 6:00,1.048,0,290.8,214.5,-2.942,64.2,0.316,3.672267,NAN,68453.8
3/30/2017 6:30,0.087,0,277.3,208.8,-4.502,72.47,0.317,1.516667,NAN,68493.75
3/30/2017 7:00,1.224,0,281.7,208.6,-4.222,69.76,0.312,2.018934,NAN,68536.73
3/30/2017 7:30,9.79,29.8,282,204.9,-5.896,78.41,0.309,2.0908,NAN,68573.9
3/30/2017 8:00,40.18,131.5,294.7,202.5,-4.59,76.07,0.331,1.216533,NAN,68604.35
3/30/2017 8:30,72.48,254.8,309.8,202.9,-1.208,62.16,0.347,3.563866,NAN,68606.56
3/30/2017 9:00,97.7,367.9,322.7,211.3,-0.113,49.09,0.297,4.535067,NAN,68607.72
3/30/2017 9:30,96.3,370.9,328.1,203.8,0.345,40.4,0.253,4.298134,NAN,68621.17
3/30/2017 10:00,155.9,615.7,355.7,204.2,1.969,26.16,0.184,5.659474,NAN,68619.37
3/30/2017 10:30,177.8,719.4,370.6,208.9,2.742,19.87,0.148,6.385466,NAN,68609.35
3/30/2017 11:00,191.2,793.2,383.5,210.6,3.113,19.43,0.148,6.900133,NAN,68596.42
3/30/2017 11:30,202.4,854,398.4,211.2,3.839,17.98,0.145,6.519334,NAN,68574.58
3/30/2017 12:00,213.2,908,413.4,214.1,3.993,17.89,0.145,5.8336,NAN,68545.69
3/30/2017 12:30,219.2,936,433.2,217.9,4.348,18.8,0.157,4.489067,NAN,68504.94
3/30/2017 13:00,226.5,966,434.7,221.2,5.271,18.19,0.162,5.689467,NAN,68461.14
3/30/2017 13:30,221.4,944,430.1,226.6,5.742,16.55,0.152,5.959067,NAN,68421.3
3/30/2017 14:00,226.1,963,441.1,222.7,6.189,14.97,0.142,5.197896,NAN,68381.94
3/30/2017 14:30,217.6,926,441.4,226.7,6.815,14.11,0.14,5.448401,NAN,68346.14
3/30/2017 15:00,214.6,902,443.5,233.7,7.291,13.49,0.138,5.236267,NAN,68328.54
3/30/2017 15:30,215.3,897,440.9,242,7.143,13.09,0.132,5.490133,NAN,68309.24
3/30/2017 16:00,215,890,435.8,260.6,7.334,13.46,0.138,5.989466,NAN,68278.19
3/30/2017 16:30,151.4,612.1,403.1,270.9,6.781,15.16,0.15,5.898932,NAN,68266.63
3/30/2017 17:00,74.38,307.5,368.9,269.9,6.105,16.06,0.151,7.441865,NAN,68265.93
