"FID_","POINT_ID","COMMENT","CAL_MOISTU","TEMP_C","REAL_DC","REAL_DC_TC","IMAG_DC","IMAG_DC_TC","SALINITY","CONDUCT","CONDUCT_TC","DATE_","TIME_","VEG_TYPE","VEG_HEIGHT","VEG_ID","SOIL_ID","ROCK_FRAC","IRRI_TYPE","DEW","LATITUDE","LONGITUDE","ALTITUDE"
,"1"," ",0.361934,12.700000,24.792000,24.272067,9.182000,10.807000,0.370000,0.026000,0.030000,"2015-09-11","8:27:29 AM","Grass: Native","0 cm"," "," ","0","None","Medium Droplets",6128374.771372,435400.302440,140.400000
,"2"," ",0.374501,12.600000,25.682000,25.410874,11.205000,13.188000,0.436000,0.031000,0.037000,"2015-09-11","8:28:20 AM","Grass: Native","0 cm"," "," ","0","None","Medium Droplets",6128375.320479,435399.537925,140.600000
,"3"," ",0.386703,12.400000,27.260000,26.541472,9.262000,10.924000,0.340000,0.026000,0.030000,"2015-09-11","8:29:02 AM","Grass: Native","0 cm"," "," ","0","None","Medium Droplets",6128374.211491,435399.545780,140.400000
,"4"," ",0.275979,12.400000,17.334000,17.183228,7.739000,9.155000,0.446000,0.022000,0.025000,"2015-09-11","8:32:04 AM","Grass: Native","0 cm"," "," ","0","None","Small Droplets",6128374.578924,435347.059979,140.400000
,"5"," ",0.430932,12.400000,30.782000,30.846121,15.799000,18.652000,0.513000,0.044000,0.052000,"2015-09-11","8:34:07 AM","Grass: Pasture","10 cm"," "," ","0","None","Small Droplets",6128374.981669,435299.594049,140.200000
,"6"," ",0.301077,12.600000,19.727000,19.126859,6.141000,7.257000,0.311000,0.017000,0.020000,"2015-09-11","8:35:44 AM","Grass: Native","10 cm"," "," ","0","None","Small Droplets",6128376.896297,435256.833258,140.300000
,"7"," ",0.520937,12.700000,39.866000,40.604307,24.675000,29.014000,0.619000,0.069000,0.081000,"2015-09-11","8:39:00 AM","Grass: Native","20 cm"," "," ","0","None","Small Droplets",6128375.949585,435227.631921,141.200000
,"8"," ",0.554931,12.400000,45.425000,44.638300,17.893000,21.166000,0.394000,0.050000,0.059000,"2015-09-11","8:41:59 AM","Water Body","10 cm"," "," ","0","None","Small Droplets",6128375.506416,435165.263691,140.600000
,"9"," ",0.595127,13.100000,51.376000,49.654724,14.664000,17.209000,0.285000,0.041000,0.048000,"2015-09-11","8:47:55 AM","Water Body","10 cm"," "," ","0","None","Small Droplets",6128370.163019,435089.695426,143.400000
,"10"," ",0.272854,13.100000,17.143000,16.948489,7.365000,8.644000,0.430000,0.020000,0.024000,"2015-09-11","8:49:47 AM","Grass: Native","10 cm"," "," ","0","None","Small Droplets",6128369.850018,435045.733448,142.700000
,"11"," ",0.301060,13.300000,19.473000,19.125539,7.519000,8.807000,0.386000,0.021000,0.024000,"2015-09-11","8:51:12 AM","Grass: Native","10 cm"," "," ","0","None","Small Droplets",6128375.106684,435005.230656,142.400000
,"12"," ",0.294495,13.400000,19.060000,18.607055,6.606000,7.713000,0.347000,0.018000,0.021000,"2015-09-11","8:52:48 AM","Grass: Native","10 cm"," "," ","0","None","Small Droplets",6128372.752536,434960.218324,141.600000
,"13"," ",0.332183,13.500000,22.247000,21.680286,7.444000,8.666000,0.335000,0.021000,0.024000,"2015-09-11","8:54:04 AM","Grass: Native","10 cm"," "," ","0","None","Small Droplets",6128373.384780,434919.292083,140.700000
,"14"," ",0.312070,13.700000,20.208000,20.010973,8.923000,10.356000,0.442000,0.025000,0.029000,"2015-09-11","8:55:58 AM","Grass: Native","20 cm"," "," ","0","None","Small Droplets",6128373.808993,434901.034005,140.100000
,"15"," ",0.320414,13.800000,21.155000,20.695380,7.564000,8.770000,0.358000,0.021000,0.024000,"2015-09-11","8:56:32 AM","Grass: Pasture","10 cm"," "," ","0","None","Small Droplets",6128373.621990,434900.731089,139.400000
,"16"," ",0.280480,13.800000,17.834000,17.524118,6.926000,8.023000,0.388000,0.019000,0.022000,"2015-09-11","8:57:07 AM","Grass: Pasture","10 cm"," "," ","0","None","Small Droplets",6128374.546147,434900.724492,139.200000
,"17"," ",0.497572,14.100000,36.812000,37.942472,27.085000,31.181000,0.736000,0.075000,0.087000,"2015-09-11","9:00:52 AM","Grass: Native","20 cm"," "," ","0","None","Small Droplets",6128372.789439,434861.792925,142.100000
,"18"," ",0.371770,14.300000,24.929000,25.161131,14.539000,16.703000,0.583000,0.040000,0.046000,"2015-09-11","9:02:41 AM","Grass: Native","20 cm"," "," ","0","None","Small Droplets",6128372.903709,434826.042631,141.000000
,"19"," ",0.407357,14.900000,27.599000,28.511409,21.542000,24.521000,0.781000,0.060000,0.068000,"2015-09-11","9:14:08 AM","Grass: Pasture","10 cm"," "," ","0","None","Medium Droplets",6128119.315382,434647.134844,140.300000
,"20"," ",0.328873,15.000000,20.944000,21.400940,14.552000,16.530000,0.695000,0.040000,0.046000,"2015-09-11","9:14:47 AM","Grass: Pasture","10 cm"," "," ","0","None","Small Droplets",6128119.133821,434647.592509,140.400000
,"21"," ",0.383658,15.200000,25.452000,26.257070,19.855000,22.508000,0.780000,0.055000,0.063000,"2015-09-11","9:15:33 AM","Grass: Pasture","10 cm"," "," ","0","None","Small Droplets",6128118.395585,434647.749921,140.800000
,"22"," ",0.352432,15.200000,23.572000,23.428420,11.159000,12.597000,0.473000,0.031000,0.035000,"2015-09-11","9:18:30 AM","Grass: Pasture","10 cm"," "," ","0","None","None",6128119.900119,434702.959170,140.100000
,"23"," ",0.464270,15.200000,33.933000,34.304444,20.814000,23.497000,0.613000,0.058000,0.065000,"2015-09-11","9:20:13 AM","Grass: Pasture","10 cm"," "," ","0","None","None",6128122.059840,434746.450401,142.100000
,"24"," ",0.446713,15.200000,32.318000,32.460296,18.104000,20.417000,0.560000,0.050000,0.057000,"2015-09-11","9:21:48 AM","Grass: Pasture","10 cm"," "," ","0","None","None",6128121.483862,434795.133333,142.000000
,"25"," ",0.480137,15.400000,35.123000,36.014950,25.920000,29.201000,0.738000,0.072000,0.081000,"2015-09-11","9:23:08 AM","Grass: Pasture","10 cm"," "," ","0","None","None",6128114.750576,434835.797824,141.800000
,"26"," ",0.392124,15.400000,26.897000,27.051738,15.409000,17.359000,0.573000,0.043000,0.048000,"2015-09-11","9:25:09 AM","Grass: Pasture","10 cm"," "," ","0","None","None",6128116.690965,434900.435448,139.700000
,"27"," ",0.456691,15.400000,32.976000,33.502118,21.719000,24.468000,0.659000,0.060000,0.068000,"2015-09-11","9:26:06 AM","Grass: Pasture","20 cm"," "," ","0","None","None",6128115.580890,434900.291252,139.900000
,"28"," ",0.365170,15.500000,24.317000,24.562874,14.859000,16.722000,0.611000,0.041000,0.046000,"2015-09-11","9:26:47 AM","Grass: Pasture","10 cm"," "," ","0","None","None",6128116.505048,434900.284654,140.000000
,"29"," ",0.346863,17.500000,23.137000,22.940909,10.329000,11.295000,0.446000,0.029000,0.031000,"2015-09-11","9:36:38 AM","Grass: Pasture","10 cm"," "," ","0","None","None",6128107.733806,434940.355088,140.300000
,"30"," ",0.347432,17.700000,23.062000,22.990489,11.711000,12.737000,0.508000,0.033000,0.035000,"2015-09-11","9:38:57 AM","Grass: Pasture","10 cm"," "," ","0","None","None",6128113.585773,434983.363596,141.100000
,"31"," ",0.267389,17.700000,16.758000,16.541876,6.644000,7.211000,0.396000,0.018000,0.020000,"2015-09-11","9:40:06 AM","Grass: Pasture","10 cm"," "," ","0","None","None",6128112.400932,435024.596839,140.300000
,"32"," ",0.256310,17.500000,15.805000,15.732786,7.799000,8.464000,0.493000,0.022000,0.024000,"2015-09-11","9:41:12 AM","Grass: Pasture","0 cm"," "," ","0","None","None",6128106.790779,435067.382786,141.800000
